2026-09-24 09:29:46.904 | INFO | MainEngine | 连接登录 -> CTP
2026-09-24 09:29:47.276 | INFO | CTP | 交易服务器连接成功
2026-09-24 09:29:48.980 | INFO | CTP | 交易服务器授权验证成功
2026-09-24 09:29:48.981 | INFO | CTP | 行情服务器连接成功
2026-09-24 09:29:49.042 | INFO | CTP | 行情服务器登录成功
2026-09-24 09:29:49.836 | INFO | CTP | 交易服务器登录成功
2026-09-24 09:30:00.706 | INFO | CTP | 结算信息确认成功
2026-09-24 09:30:05.943 | INFO | CtaStrategy | CTA策略引擎初始化成功
2026-09-24 09:30:27.429 | INFO | CtaStrategy | wqk27开始执行初始化
2026-09-24 09:30:27.429 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 initialized ExecutionCore 2.3.1
2026-09-24 09:30:30.658 | INFO | CtaStrategy | [wqk27]  [V2.5 EXIT] unavailable reason=PRICETICK_UNAVAILABLE
2026-09-24 09:30:37.826 | INFO | CtaStrategy | [wqk27]  行情订阅失败，找不到合约c2611.DCE
2026-09-24 09:30:37.828 | INFO | CtaStrategy | wqk27初始化完成
2026-09-24 09:30:39.311 | INFO | CtaStrategy | [wqk27]  DoubleMaStrategy V2.7 启动
2026-09-24 09:30:39.342 | INFO | CtaStrategy | [wqk27]  成交账本已加载: C:\Users\Administrator\strategies\ledger\wqk27_c2611_DCE.sqlite (0 条)
2026-09-24 09:30:39.343 | INFO | CtaStrategy | [wqk27]  已订阅 EVENT_TIMER / EVENT_POSITION
2026-09-24 09:30:39.343 | INFO | CtaStrategy | [wqk27]  持仓同步开始：策略启动
2026-09-24 09:30:39.344 | INFO | CtaStrategy | [wqk27]  已向柜台查询委托，等待回报后再对账。
2026-09-24 09:30:39.345 | INFO | CtaStrategy | [wqk27]  持仓同步结束：system=SYNCING_ORDERS, reason=NONE, strategy_pos=0, account_pos=0, msg=持仓已同步 account_pos=0，开始同步活动订单
2026-09-24 09:30:39.345 | INFO | CtaStrategy | [wqk27]  [V2.7 TREND] ADX=23.248413508804333 +DI=9.721485002582027 -DI=4.370595035049926 candidate=NONE confirm=0/2 state=RANGE
2026-09-24 09:30:39.345 | INFO | CtaStrategy | [wqk27]  [V2.7 REGIME] ADX=RANGE MA=BEAR BB=EXPANSION direction=BEAR Final=SHORT reason=REGIME_SHORT
2026-09-24 09:30:48.123 | INFO | CtaStrategy | [wqk27]  柜台委托查询超时，退回本进程内存对账
2026-09-24 09:30:51.125 | INFO | CtaStrategy | [wqk27]  私有流空闲后按本进程无挂单放行（非柜台 query_order）
2026-09-24 09:32:01.029 | INFO | CTP | 交易服务器连接断开，原因8193
2026-09-24 09:32:01.194 | INFO | CtaStrategy | [wqk27]  Gateway 断开：td=False, md=True，暂停下单
